time,philosopher_0,philosopher_1,philosopher_2,philosopher_3,philosopher_4
0.001,THINKING,THINKING,THINKING,THINKING,THINKING
0.001,THINKING,THINKING,THINKING,THINKING,THINKING
0.001,THINKING,THINKING,THINKING,THINKING,THINKING
0.001,THINKING,THINKING,THINKING,THINKING,THINKING
0.001,THINKING,THINKING,THINKING,THINKING,THINKING
0.595,TAKING_LEFT_FORK,THINKING,THINKING,THINKING,THINKING
0.595,TAKING_RIGHT_FORK,THINKING,THINKING,THINKING,THINKING
0.595,EATING,THINKING,THINKING,THINKING,THINKING
0.661,EATING,THINKING,TAKING_LEFT_FORK,THINKING,THINKING
0.661,EATING,THINKING,TAKING_RIGHT_FORK,THINKING,THINKING
0.661,EATING,THINKING,EATING,THINKING,THINKING
0.700,EATING,TAKING_LEFT_FORK,EATING,THINKING,THINKING
1.088,EATING,TAKING_LEFT_FORK,EATING,THINKING,TAKING_RIGHT_FORK
1.471,EATING,TAKING_LEFT_FORK,PUTTING_FORKS,THINKING,TAKING_RIGHT_FORK
1.471,EATING,TAKING_LEFT_FORK,THINKING,THINKING,TAKING_RIGHT_FORK
1.544,EATING,TAKING_LEFT_FORK,THINKING,TAKING_LEFT_FORK,TAKING_RIGHT_FORK
1.544,EATING,TAKING_LEFT_FORK,THINKING,TAKING_RIGHT_FORK,TAKING_RIGHT_FORK
1.544,EATING,TAKING_LEFT_FORK,THINKING,EATING,TAKING_RIGHT_FORK
1.994,PUTTING_FORKS,TAKING_LEFT_FORK,THINKING,EATING,TAKING_RIGHT_FORK
1.994,THINKING,TAKING_LEFT_FORK,THINKING,EATING,TAKING_RIGHT_FORK
1.995,THINKING,TAKING_LEFT_FORK,THINKING,EATING,TAKING_LEFT_FORK
1.995,THINKING,TAKING_RIGHT_FORK,THINKING,EATING,TAKING_LEFT_FORK
1.995,THINKING,EATING,THINKING,EATING,TAKING_LEFT_FORK
2.295,THINKING,EATING,THINKING,PUTTING_FORKS,TAKING_LEFT_FORK
2.295,THINKING,EATING,THINKING,THINKING,TAKING_LEFT_FORK
2.295,THINKING,EATING,THINKING,THINKING,EATING
2.507,THINKING,EATING,TAKING_LEFT_FORK,THINKING,EATING
2.688,THINKING,PUTTING_FORKS,TAKING_LEFT_FORK,THINKING,EATING
2.688,THINKING,THINKING,TAKING_LEFT_FORK,THINKING,EATING
2.688,THINKING,THINKING,TAKING_RIGHT_FORK,THINKING,EATING
2.688,THINKING,THINKING,EATING,THINKING,EATING
3.150,THINKING,THINKING,EATING,THINKING,PUTTING_FORKS
3.150,THINKING,THINKING,EATING,THINKING,THINKING
3.248,THINKING,TAKING_LEFT_FORK,EATING,THINKING,THINKING
3.248,THINKING,TAKING_RIGHT_FORK,EATING,THINKING,THINKING
3.777,TAKING_LEFT_FORK,TAKING_RIGHT_FORK,EATING,THINKING,THINKING
3.777,TAKING_RIGHT_FORK,TAKING_RIGHT_FORK,EATING,THINKING,THINKING
4.063,TAKING_RIGHT_FORK,TAKING_RIGHT_FORK,EATING,TAKING_LEFT_FORK,THINKING
4.119,TAKING_RIGHT_FORK,TAKING_RIGHT_FORK,PUTTING_FORKS,TAKING_LEFT_FORK,THINKING
4.120,TAKING_RIGHT_FORK,TAKING_RIGHT_FORK,THINKING,TAKING_LEFT_FORK,THINKING
4.120,TAKING_RIGHT_FORK,TAKING_RIGHT_FORK,THINKING,TAKING_RIGHT_FORK,THINKING
4.120,TAKING_RIGHT_FORK,TAKING_RIGHT_FORK,THINKING,EATING,THINKING
4.120,TAKING_RIGHT_FORK,EATING,THINKING,EATING,THINKING
4.589,TAKING_RIGHT_FORK,EATING,THINKING,EATING,TAKING_RIGHT_FORK
4.710,TAKING_RIGHT_FORK,EATING,THINKING,PUTTING_FORKS,TAKING_RIGHT_FORK
4.710,TAKING_RIGHT_FORK,EATING,THINKING,THINKING,TAKING_RIGHT_FORK
4.857,TAKING_RIGHT_FORK,EATING,TAKING_LEFT_FORK,THINKING,TAKING_RIGHT_FORK
